segment,bedrijf,voornaam,email,plaats,sector,opt_out,notitie
scholen,Basisschool De Verbeelding,,directie@verbeelding-almere.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,Basisschool De Verwondering,,directie@verwondering-almere.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,Daltonschool De Windwijzer,,administratie@windwijzer-almere.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,Basisschool Het Drieluik,,info@drieluik-almere.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,PCB Het Kompas,,dir.kompas@prisma-almere.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,Basisschool De Sterrenzee,,info@sterrenzee.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,OBS De Albatros,,administratie@albatros.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Jenaplanschool De Kring,,info@kring.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Daltonschool De Ontdekking,,info@ontdekking.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Columbusschool,,info@columbusschool.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Basisschool Digitalis,,directie@digitalis.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS De Flierefluiter,,directie@flierefluiter.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS De Klaverweide,,info@klaverweide.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS De Tjasker,,directie@tjasker.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS Het Spectrum,,directie@spectrum.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Daltonschool Bommelstein,,directie@bommelstein.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS Syncope,,info@syncope.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS De Zevensprong,,directie@zevensprong.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Basisschool Aurora,,directie@aurora.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS Het Palet,,administratie@palet.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Basisschool De Compositie,,info@compositie.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS De Polderhof,,directie@polderhof.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,IKC De Aquamarijn,,info@aquamarijn.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS De Achtbaan,,directie@achtbaan.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS De Kameleon,,directie@kameleon.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS De Argonaut,,directie@argonaut.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Basisschool De Architect,,administratie@architect.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Basisschool De Heliotroop,,administratie@heliotroop.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Basisschool Vuurvogel,,directie@vuurvogel.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS Polygoon,,directie@polygoon.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Basisschool De Egelantier,,directie@egelantier.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS Letterland,,info@letterland.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Basisschool De Archipel,,info@archipel.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Basisschool Caleidoscoop,,administratie@caleidoscoop.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS Het Meesterwerk,,info@meesterwerk.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,Sterrenschool Het Universum,,directie@universum.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,OBS Het Avontuur,,info@avontuur.asg.nl,Almere,basisonderwijs,0,ASG (openbaar)
scholen,SBO De Bombardon,,administratie@bombardon.asg.nl,Almere,speciaal basisonderwijs,0,ASG (openbaar)
scholen,SBO De Watertuin,,info@watertuin.asg.nl,Almere,speciaal basisonderwijs,0,ASG (openbaar)
scholen,Arte College,,info@artecollege.asg.nl,Almere,voortgezet onderwijs,0,ASG (openbaar)
scholen,Buitenhout College,,informatie@buitenhoutcollege.nl,Almere,voortgezet onderwijs,0,ASG (openbaar)
scholen,OSG Echnaton,,info@echnaton.nl,Almere,voortgezet onderwijs,0,ASG (openbaar)
scholen,Helen Parkhurst,,info@helenparkhurst.asg.nl,Almere,voortgezet onderwijs,0,ASG (openbaar)
scholen,OSG De Meergronden,,info@meergronden.asg.nl,Almere,voortgezet onderwijs,0,ASG (openbaar)
scholen,Oostvaarders College,,directiesecretariaat@ovc.asg.nl,Almere,voortgezet onderwijs,0,ASG (openbaar)
scholen,PrO Almere,,info@proalmere.asg.nl,Almere,voortgezet onderwijs,0,ASG (openbaar)
scholen,Stad College,,stadcollege@hetbaken.nl,Almere,voortgezet onderwijs,0,Het Baken Almere
scholen,Poort Lyceum,,poortlyceum@hetbaken.nl,Almere,voortgezet onderwijs,0,Het Baken Almere
scholen,Park Lyceum,,parklyceum@hetbaken.nl,Almere,voortgezet onderwijs,0,Het Baken Almere
scholen,Trinitas Gymnasium,,trinitasgymnasium@hetbaken.nl,Almere,voortgezet onderwijs,0,Het Baken Almere
scholen,International School Almere (primary),,info.primary@isalmere.nl,Almere,basisonderwijs,0,Het Baken Almere
scholen,International School Almere (secondary),,info.secondary@isalmere.nl,Almere,voortgezet onderwijs,0,Het Baken Almere
scholen,Waldorf Almere,,info@waldorfalmere.nl,Almere,voortgezet onderwijs,0,Vrijeschool VO (zelfstandig)
